Opened	Name	City	Market
11/4/2021	Franklin Avenue	Fort McMurray	Alberta\AlbertaRemoteMarkets
11/1/2021	Gardner, W. Broadway	Gardner	Massachusetts\Boston
10/29/2021	Forked River	Forked River	NewJersey
10/29/2021	E Santa Clara & 5th	San Jose	California\SantaClaraCounty
10/29/2021	625 Trunk Road	Sault Ste. Marie	Ontario\OntarioRemoteMarkets
10/28/2021	S. Broadway & Rice	Tyler	Texas\RemoteMarkets
10/26/2021	Pickup - Downtown Redmond	Redmond	Washington\Seattle
10/25/2021	Artesia & Redondo	Redondo Beach	California\LosAngelesCounty
10/25/2021	Rochester Crossing & Main Street	Rochester	Indiana\IndianaRemoteMarkets
10/22/2021	Pickup - Prentice Women`s Hospital	Chicago	Illinois\Chicago
10/20/2021	Pickup - Sierra & Marygold	Fontana	California\RiversideCounty
10/20/2021	Lake Jennings Park Rd & I-8	El Cajon	California\SanDiego
10/19/2021	Malden Center	Malden	Massachusetts\Boston
10/18/2021	Soldotna	Soldotna	Alaska
10/18/2021	State Line & 90th	Kansas City	Missouri\KansasCity
10/15/2021	John T. Reid Pkwy. & County Park R	Scottsboro	Alabama\AlabamaRemoteMarkets
10/15/2021	I-75 & N. Lee	Forsyth	Georgia\GeorgiaRemoteMarkets
10/13/2021	75 Street and 68th Avenue	Edmonton	Alberta\Edmonton
10/11/2021	Beltway 8 & Cullen Blvd	Houston	Texas\Houston
10/11/2021	Penfield, Parkside Commons	Penfield	NewYork\Rochester
10/11/2021	Mentor Ave & Plaza Blvd	Mentor	Ohio\Cleveland
10/7/2021	Pickup - Fifth Ave north of 41st St	New York	NewYork\NewYorkCity
10/5/2021	Franklin, E. Central	Franklin	Massachusetts\Boston
10/5/2021	Pickup - Main St and Broad St	Greenville	SouthCarolina\Greenville
10/4/2021	Hamilton & Indiana	Spokane	Washington\Spokane
10/4/2021	Pickup - 2nd & Commerce	Fort Worth	Texas\DallasFortWorth
10/4/2021	Hwy 170 & Rt 46	Bluffton	SouthCarolina\HiltonHead
10/3/2021	Whitehall, 3861 East Broad St	Whitehall	Ohio\Columbus
10/3/2021	Eden Square, Bear	Bear	Delaware
10/3/2021	Hare`s Corner	New Castle	Delaware
10/3/2021	Pickup - Towson Univ	Towson	Maryland\Baltimore
10/3/2021	S. Bibb Ave. & E. Garrison St.	Eagle Pass	Texas\RemoteMarkets
10/3/2021	I-35 & Kohlers Crossing	Kyle	Texas\Austin
10/3/2021	Louetta Rd and Vintage Preserve Pkw	Houston	Texas\Houston
10/3/2021	Salem, Canal Street	Salem	Massachusetts\Boston
10/3/2021	Pickup - 22nd & Rio Grande	Austin	Texas\Austin
10/2/2021	Haynes Bridge and Devore Rd	Alpharetta	Georgia\Atlanta
10/2/2021	Drum Hill Rd, Chelmsford	Chelmsford	Massachusetts\Boston
10/2/2021	Dale & Kaiser	Modesto	California\ModestoStockton
10/2/2021	California City & Constitution	California City	California\KernCounty
10/2/2021	Norfolk Naval Base - Hampton Blvd	Norfolk	Virginia\ChesapeakeBayRegion
10/1/2021	Upper Dublin	willow grove	Pennsylvania\Philadelphia
10/1/2021	University Pkwy & Lorraine	Sarasota	Florida\SarasotaBradenton
10/1/2021	General Booth & Nimmo,Hickman Place	Virginia Beach	Virginia\ChesapeakeBayRegion
10/1/2021	Center St & Cherry Ave	Chardon	Ohio\OhioRemoteMarkets
10/1/2021	Delaware Turnpike & New Castle Ave	New Castle	Delaware
10/1/2021	Hazard Ave, Enfield	Enfield	Connecticut\Hartford
10/1/2021	10th & Orange	Marysville	California\NorthernCalifornia
10/1/2021	Alameda and Washington	Albuquerque	NewMexico\Albuquerque
10/1/2021	Harrison & Paulina - Rush	Chicago	Illinois\Chicago
10/1/2021	County Line Rd & Mariner Blvd	Spring Hill	Florida\FloridaRemoteMarkets
10/1/2021	Colusa & Clark	Yuba City	California\NorthernCalifornia
10/1/2021	Barry Rd & NW Prairie View DTO	Kansas City	Missouri\KansasCity
10/1/2021	Eight Mile & 99	Morada	California\ModestoStockton
10/1/2021	5th & Keystone	Reno	Nevada\Reno
10/1/2021	Santa Monica Blvd & Purdue	Los Angeles	California\LosAngeles
10/1/2021	Pickup - Nicollet and 26th	Minneapolis	Minnesota\Minneapolis
10/1/2021	Pickup - Knight Campus	Eugene	Oregon\WestCentralOregon
10/1/2021	Higley and Brown	Mesa	Arizona\Phoenix
10/1/2021	Island & Mecartney	Alameda	California\AlamedaCounty
10/1/2021	Pickup - California & Drumm - SF	San Francisco	California\SanFrancisco
10/1/2021	Hwy 81 & Lake Dow	McDonough	Georgia\GeorgiaRemoteMarkets
10/1/2021	San Jose Blvd & University Blvd	Jacksonville	Florida\Jacksonville
10/1/2021	Pulaski & 43rd St	CHICAGO	Illinois\Chicago
10/1/2021	S. Pokegama Drive and 23rd Street	Grand Rapids	Minnesota\MinnesotaRemoteMarkets
10/1/2021	Hollywood Blvd & Park Rd	Hollywood	Florida\BrowardCounty
9/30/2021	DNT & Panther Creek	Frisco	Texas\DallasFortWorth
9/30/2021	Garnet & Mission Bay	San Diego	California\SanDiego
9/30/2021	East Johnson & Airport	Jonesboro	Arkansas
9/30/2021	200 Remount Road, Gateway Plaza	Front Royal	Virginia\VirginiaRemoteMarkets
9/30/2021	19th Street & Sharpe Avenue	Red Deer	Alberta\RedDeer
9/30/2021	HWY 75 & Regency Lane	Denison	Texas\RemoteMarkets
9/30/2021	Pickup - City Centre	Houston	Texas\Houston
9/30/2021	Sunnyside & Stevens	Clackamas	Oregon\Portland
9/30/2021	S. Loop 256 and Trail Hollow	Palestine	Texas\RemoteMarkets
9/30/2021	Hwy 14 and Main St	Simpsonville	SouthCarolina\Greenville
9/29/2021	I-95 & US 264 Alt	Wilson	NorthCarolina\NorthCarolinaRemoteMarkets
9/28/2021	Cheshire, South Main	Cheshire	Connecticut\SouthernConnecticut
9/28/2021	Main & Green Valley	Watsonville	California\CentralCoast
9/28/2021	Pickup - Addison and Sheffield	Chicago	Illinois\Chicago
9/27/2021	Big A & Skyline	Toccoa	Georgia\GeorgiaRemoteMarkets
9/27/2021	29 S & Stoneridge, Ruckersville	Ruckersville	Virginia\Charlottesville
9/27/2021	Route 10 & Heitmann	Lincoln	Illinois\IllinoisRemoteMarkets
9/27/2021	Hobart & 17th	Pampa	Texas\RemoteMarkets
9/27/2021	I-20 & Ford Parkway	Bessemer	Alabama\AlabamaRemoteMarkets
9/27/2021	Pickup - Union Station East Portal	Los Angeles	California\LosAngeles
9/27/2021	I-75 & Mary Grubbs Hwy	Walton	Kentucky\KentuckyRemoteMarkets
9/27/2021	Randolph & Wabash	Chicago	Illinois\Chicago
9/26/2021	San Felipe & Santa Ana	Hollister	California\CentralCoast
9/25/2021	635 and Military Pkwy	Mesquite	Texas\DallasFortWorth
9/25/2021	635 and Town East	Mesquite	Texas\DallasFortWorth
9/25/2021	Smyrna DE	Smyrna	Delaware
9/25/2021	M-21 & N State Rd	Owosso	Michigan\MichiganRemoteMarkets
9/25/2021	Pickup - Victory Park Lane	Dallas	Texas\DallasFortWorth
9/24/2021	Valleydale Rd & Caldwell Mill Rd	Indian Springs Village	Alabama\Birmingham
9/24/2021	41st and Sycamore	Sioux Falls	SouthDakota
9/24/2021	2495 Brunswick Pike	Lawrence Township	NewJersey
9/24/2021	5th & Rome	North Las Vegas	Nevada\LasVegas
9/24/2021	Fort Washington DT	Fort Washington	Pennsylvania\Philadelphia
9/24/2021	Beach Blvd & University Blvd	Jacksonville	Florida\Jacksonville
9/24/2021	Franklin & College	Hartwell	Georgia\GeorgiaRemoteMarkets
9/24/2021	Reisterstown Rd, St Thomas SC	Owings Mill	Maryland\Baltimore
9/24/2021	Irving Blvd. and O`Connor	Irving	Texas\DallasFortWorth
9/24/2021	Lee Road & Wymore	Winter Park	Florida\Orlando
9/24/2021	I-40 & NC24	Warsaw	NorthCarolina\NorthCarolinaRemoteMarkets
9/23/2021	Vista Village & Hacienda	Vista	California\SanDiego
9/22/2021	Ellsworth & Riggs	Queen Creek	Arizona\Phoenix
9/22/2021	I-85 & Hwy 221	Spartanburg	SouthCarolina\Greenville
9/20/2021	Jerome Ave & E 208th St	Bronx	NewYork\Bronx
9/20/2021	Mayfield & Mayfair	Mayfield Heights	Ohio\Cleveland
9/20/2021	Hwy 153 & Berean Ln	Chattanooga	Tennessee\Chattanooga
9/20/2021	Industrial Pkwy & I-65	Saraland	Alabama\Mobile
9/19/2021	I-35 & Westport	Fort Worth	Texas\DallasFortWorth
9/18/2021	Woodmen and Marksheffel Rd	Colorado Springs	Colorado\ColoradoSprings
9/18/2021	Mineola- 2nd st	Mineola	NewYork\LongIsland
9/18/2021	Kraken Community Iceplex	Seattle	Washington\Seattle
